bjd,rv,e_rv
2458234.7804788565,86.93027670429483,33.662242914383995
2458236.7802790543,-230.12309834541736,46.681180799651514
2458238.7822893187,-157.77025059413336,53.20076750165578
2458266.93761799,55.532122405740765,36.19392196635539
2458267.692330228,139.35744597736743,35.09242588311728
2458267.9126443313,228.13647043462993,35.50708201325501
2458290.856986019,20.67007012025156,28.436258124589386
2458291.8522666898,-29.274993506881213,44.60513060538862
2458292.8632161627,-124.6888854402188,39.63877819335339
2458318.777907011,-47.61969032937557,31.136662571262065
2458319.7822884843,-49.89665482661885,36.02562504161055
2458321.771480763,-82.03768143653846,28.708804234762635
2458322.7663261537,6.623148201719326,39.86797940706948
